train_loss,val_loss,dice,iou,precision,recall
0.294243474992422,0.15688997975089417,0.8695754708409422,0.7848341255194202,0.8682017737380202,0.890329423166831
0.1142466870291247,0.1392707420667357,0.8795788282301398,0.8011064917385093,0.9064500403127999,0.8713693281626216
0.10379138478570303,0.13049718096981502,0.8878045526633137,0.811212117953048,0.9065059517587694,0.882596429339534
0.09763137339297198,0.13046089407623618,0.8868919642558821,0.8107394135096537,0.8984056287981519,0.8906039216501753
0.09351468729909321,0.12720201000829653,0.890042862577053,0.8145575028605693,0.8982016505470742,0.8952442972368636
0.08998771687620034,0.12621202334216106,0.8902573078637644,0.8155139039071976,0.8934173147904865,0.9007774501968082
0.08669640746703193,0.12692982937444383,0.8903120186811352,0.8158913336137147,0.9046982589040888,0.8903178833965335
0.08431790428695171,0.12326572890355753,0.8931456982058096,0.8197382470128196,0.9205900026501385,0.8797021778019836
0.08195891220712125,0.12330222741731214,0.892763444356353,0.8196170442500288,0.9067457977697523,0.8937324845188593
0.07984006674736666,0.12229612975350809,0.8940737136590405,0.8208880564294817,0.901282662324296,0.89958033896057
0.07806995867613278,0.12444422327642381,0.8920585361297928,0.8179223969923564,0.9234776679072834,0.8761652464239204
0.07624045587502994,0.12127877956683351,0.8951966434939311,0.8221246254386682,0.9018554698614759,0.9017901489274565
0.07492378510494609,0.11809573486547824,0.897699224455605,0.8260694667762734,0.9092585454735803,0.89824650394937
0.0735538386489278,0.1197861175058205,0.8961869774895658,0.8237523421394997,0.9109793066692394,0.8950692884939853
0.07242251495935209,0.11829024992222846,0.8979910821041086,0.825569985294126,0.9018011684986263,0.9051711944146763
0.07129956529800183,0.12005211207262009,0.896242834836346,0.8241258733690291,0.9020400416814838,0.9030259891571003
0.07017494679147096,0.12006682712362221,0.8962732938327583,0.824088327278312,0.9021463519722337,0.9032743830376146
0.0693512715541633,0.117628513715142,0.8985843270288423,0.8269268067918436,0.9021227181153371,0.9075017016836285
0.06836016536751896,0.11761034859312063,0.898515917214456,0.8270315971152886,0.9068630342606373,0.9027455017824525
0.06768887397495045,0.11839226026066466,0.8976616939528973,0.8264634084080896,0.9132823573716339,0.8951283411183388
